texto,produto,fonte_promocao,aspecto,aspecto_detectado,sentimento_aspecto,sentimento_previsto,fonte_classificacao,absa_resultado,absa_correto
"tek: ‘Amel produto. Chegou répido e tudo certo. -Jausei cozinhel ovo e esquentel banana. Pritico efécil.Faciita a vide. neossy Freese t ever, [ Bevers",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,bertimbau,entrega:positivo,False
até que chegou répidoliguel funcionou no mostrusrio parecia ser maior é muito pequeno liguel funcionou eu gostei s6 achel muito pequeno ‘oeriocate e carotnnes5 Parecido com o andncioe velo o copinho de 40m. 0 cabo & muito curtinho. Estéfuncionando. Ainda no cozinhel ovos mas teste eesté esquentando. fet sorquato,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,neutro,lexico,qualidade:neutro,False
"Muito bom o produto, a Unica coisa é que a cor é sortida! Deveriam dar opcdo para selecionar a cor antes de madar o produto",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Postagem e entrega dentro do esperado caixa toda amacada nde colocaram nenhuma protego bom que néo danificou 0 produto, bom custo beneficio achel que fosse um pouco maior mais funcione bem até o momento, CChegou antes do previsto, bem embalado. Uma cor linda ! ‘Vou testare volto pra falar sobre o funcionamento Wiasivet29",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Gostel do produto, uma penag no pude escolher a cor. Gostaria de comprar outro, mas corro. risco de viramesma. Entrega super répida. Recomendo o vended Legumes: ndo fiz legumes ainda Velocidade © super répido e sai no ponto Qualidade: 08 oves fcam no ponto certo que eu gosto ‘Ainda me adaptando, se for mesmo bom, endo queima répido por que parece frill volto aqui pra avisar",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
"Praduto multo bom. Atende perfeitamente ao seu propésite, Unico porém & que na descrigéo diz que desliga automaticamente quando a agua acaba, o que nio é verdade {pelo menos no que eu receb) ynegésonmn",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Produto multo bom cumptir o que fala bre ele minha amiga gostou muito ela cozinho os ovos e amor podem comprar vale multe @ pena eu comprei 2 um para me é outro para minha amiga,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Fiquel insegura ge ia cozinhar mesmo. Fiz o teste e deu super certo! Come 0 folheto vem escrito em ing, enchio copinho medidor com équa, coloquel na base e testel ‘com um ovo. Ele desiiga automaticamente, Nota 10! Entrega na data estipuladat 6 kkk",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,bertimbau,entrega:positivo,False
"Chegou dentro do prazo, jé teste! e funciona perfeitamente.. Recomendo bom demais",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"CChegou dentro do prazo,jé teste e funciona perfetamente.... Recomendo bom demais",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Nao teste! sinda, mais parece ser boa. apreser q material aparenta ser bem frégil_chegou antes do prazo.. velo ume azul e uma amarela",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Gostei do produto chegou super répido porém pedi na cor branco e velo azul tirando isso funciona diretinho adorei ‘Tudo certo. Entregue dentro do prazo bem embalado, funciona perfetamente, produto itl eprético, ecomendo 0 produto e o vendedor.",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,neutro,positivo,lexico,entrega:positivo,False
"tek kkr 7026-0223 1336 | Varago: COZEDOR 3 ANDARES,110V Entrega super rapida produto funciona perfeitamente.cumpre o prometide.vamos vera durabilidade. eke: Goste! muito do produto, porém quem entregou jogou de uma altura alta e acabou quebrando o pezinho. Acabelficando mesmo assim, teria que gastar com @ embalagem, Mas o produto em si é muito bom e cozinha ovo, cenoura, couve lore outros legumes super répido Shiamaragasivaandras CChegou bem rapido sem nenfuum defeito, funcionando perfeitamente sem problemas gostel dessa compra s6 que me enviaram na cor rosa eno combina com nada na ‘minha cozinha .26 fol isso que néo achei legal mae recomendo 0 produto tek kkr",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,neutro,positivo,lexico,entrega:positivo,False
Amel top de linha top top top chegou rapidinho até ek:,Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,bertimbau,entrega:positivo,False
"CChegou no prazo, ands no use! a primeirs vez que compro,o entregador & étimo, parece ser bom",Cozedor de Ovos 3 Andares,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Legumes: ainda no usei Qualidade: parece bem resistente ‘Anda no usel.. Mas chegou tudo em ordem e me parece bom fe Gur,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Muito boa. Chegou rapido. O problema é que escolhié o branco e velo azul. fe Gu? ‘ipagiuzo,Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,negativo,positivo,lexico,entrega:positivo,False
"Bom, aquece e cozinha os ovos e alimentos no vapor, mas bem sensivel o material! fe Gu? Legumes: Use cenoura,brécolis,batata Velocidad: Cozinhou em alguns minutos, muito bom! Qualidade: Boa ""Muito bom pra quem no tem tempo, e gosta de comestvels a0 dente fe Gu? ‘sivanigousa219",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
Legumes ainda nao usei Velocidade: Parece boa Qualidade: © material parece resistentee durdvel,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Costel do produto! Muito prétice | Pena que eles enviaram a cor diferente. Veio azul eno seria uma cor que eu escolheria para ter er minha cozinha . No mals tudo ok O produto ¢ ok. Faz 0 que se propde razoavelmente bem, 1a quantidade de Sgua para ovos Hard boiled é um pouco a mais que a do medidor diz que deve ser. 2 a instruglo do produto ¢ um pouco equivocada, provavelmente por causa da tradugo ruim do chins. 3 fagam o furo na parte debeixo do ovo (no @ superior como esté na instrugéo) e ponha de ponta cabega para cozinhar. Com isso, voc# evita que ele vaze. Paz O produto é muito bom 'Sé no gostei que pedi na cor branca e mim enviaram amarela [Nao gosto d amarelo e no combinado com minha paleta de cor da minha cozinha roduto de acardo com 0 anincio. Cozinha ovos muito bem, os legumes também, porém este time fica um residue escuro no funde da pega, tendo que ser removida com palha de ago ou esponja. kkk LY Ota ela realmente faz 0 que promete. Fiz o teste com 2 ovos e jé peguel os macetes. Compre sem medo. A Unica coi triste & que eu guardo em caixas e a da minha velo ‘toda destruidae tbm ndo velo na cor que eu pedi. Mas estou satisteta com a compra, ‘gacieecompeet tek k sr",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
Legumes: eves eazinhou Velocidade: esquenta répida Qualidade: boa stro rida 2 wy 5,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"produto corresponde ao andnco, teste cozinhando ovos fol eficiente.Ainda na testei com a capacidade total",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Acabel de receber ainda ndo provel, mas velo bem embalada erpido,",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
"Realmente & muito utile funciona direitinho, compre para minha mle ela amou, porém eu no fiquel muito contente, pols ela queria branco e néo sabiamos que tisha 8 op¢o de escolha pelo chat. Mesmo assim ela gostou © ™ sugestlo: coloque no antncio a opedo de escolha de cor pelo chat e se tver no andncio pego desculpas pois nBo vi @",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
"Pratico répido. Dei quatro este porque no anuncio estava branco o video, ao tinha na descri¢lo a co, entendi que receberia um branco, porem velo um rosa.",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
"Goste!, chegou répido, @ Unica coisa que desmerecer na avaliaedo fol que eu comprel branco e velo amarelo eu odelo amarelo e verde, eu comprel neste vendedor pq era branco e isso éiitante",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,bertimbau,entrega:positivo,False
"Queria qualquer cor menos o rosa, até avisel o vendedor mas fazer og, cor aleatéria, me enviaram rosa. O produto & bom, fiz um ovo cozido, desiga sozinho, nBo deixs o ovo ‘passar do ponto, 26 néo consegui usar 0 cope medidor como furador da pontinha do ove. I280 antes de cazinhar, como manda as instucdes. ‘Chegou antes do prazo, ndo teste ainds.acaixa velo bem danificada Lis ts boven 02507-23066 | Vriagéo: COZEDOR 2 ANDARES,110V (© produto é maravlhoso! Perfeto! Vale muito a pena. A embalagem velo emaseads e meio rasgads embeixo, mas velo sem nenhuma avaria. S6 ndo dei § estrelas devide a ‘embalagem, a0 andncio que no dava oportunidade de escolher a core 40 vendedor, pols mandel 3 mensagens e ful totalmente ignorada, Mas 0 produto & perfeto",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Jnecleint2 Fie 0 teste com ovos étime cozimento Produto pequeno ‘Velo mal embalado sem nenhum cudade poderis ter colocado encoladinho no papelio ou pléstica bolhafaltou capricho ne envia aja ‘Chegou dentro do prazo! Eu quis testarprimeico pra vim aqui comentar. 0 produto é bom, mas 0 fato de no poder escolher a cor é muito ruim, sou homem e o meu veio rosa. Ndo recomend, compre de algum vendedor que dé para escolher a colorago do equipamento, 2n2s0921 1055 ‘Ja tve um desse, bem prtico e répido cozinha ovos 86 que queria 0 de 2 andares e o vendedor me mandou de 1 $6, |é testel etd funcionando , paguel um valor erecebi outro produto Js tive um desse, bem prético e répido cozinha ovos 86 que queria 0 de 2 andares e 0 vendedor me mandou de 1/86, jé testel eta funcionando , paguel um valor e receb| ‘outro produto Recebi agora e, por isso, ind no teste $6 no gostei, por enquanto, da cor No pedi amarelo. No tem nada a ver com minha cozinhe, nem com @ilustracdo. yo: COZEDOF NOARES.110V Parece muito frgll, mas acredito que suporte bem o calor, quando ligado. CChegou répido, mas ndo veio bem embalado.",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,negativo,positivo,lexico,entrega:positivo,False
"Parece estar dirltinho, mas &caixa chegou tods amassads,e ers um presente, Bee ‘one rmonicasmenatt? ‘Anda no usel. A caixa chegou toda amassada, parecia ter sido aberta, produto chegou inti. rtszAunsow kkk kS ‘A-embalagem velo bem amassada,porém o aparelho néo esté quebrade hava pedido na cor branca mas velo amarelo. Fa | fiero wes Bae aes",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,negativo,lexico,entrega:negativo,False
Produto chegou muito bem jé usei viras vezes ‘our,Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,bertimbau,entrega:positivo,False
"Produto chegou muito bem jé usel vérias vezes. ‘edeon ola (0 produto chegou no dia certo, a calxe velo toda danificada, mas o produto esté ok, no teste ainda. Nsernorango tetas:",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,neutro,neutro,lexico,entrega:neutro,False
"Nao fol testado ainda, pois é um presente. A embalager chegou toda destruida. Entrega absurdamente demorada,",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,negativo,lexico,entrega:negativo,False
"A embalager deixou bem a desejar. Velo a caixa orginal dentro do saquinho, sem nenhuma proteco maior com o produto. A caixa veio bem amassada,principalmente o undo. 0 produto no fo! danficado mas, vale um pouguinho mais de cuidado. Fora isso , 0 produto funciona bem e atende 04 proposto. ‘s2p2mesie cata eo bem amused, porno Coondr chap sr eas Pana cor banca velo sn Lig orth squacende norma Ande nfo coke! ada _ = Sof age SEE is & Ietersont.cruz",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,negativo,lexico,qualidade:negativo,False
Legumes: goste! fiz teste Velocidade: boa (Qualidade: ache tampa de cima pouco encaixe Embalagem velo rasgado tudo bagunca ‘Acho tinha presta mas ateneéo na hora de manda produto bem embslado i 2 @ &,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Bom produto, Chegou dentro do prazo previsto. A embalagem velo bem amassada, Gostaria de ter escolhido a cor. CChegou répido, veio na prépria embalagem. Esta funcionando normaimente,",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,neutro,lexico,entrega:neutro,False
"VaviagS: COZEDOR 3 ANDARES,T10V O produto chegou com a embalagem destruda nio sel de fol o entregador ou se veio assim a caixa estava toda rasgada quando eu abrio saco que veioe ful retirar 0 produto por pouco néo caiu, vou testare ver como funciona |neidtag0 Dette 70250508 1-21 | Variagde:COZEDOR 2 ANDARES,T10V ostei do cozedorelétrico e se usar a caixa, no poderia Veio rasgada Agora usar se estéfuncionando. ia | Dentro domprazo de entrega. Conforme o anuncio. A calxa velo um pouco emassada mas 0 produto velo intacto. Cumpre o que promete. Cozinha bem 0s legumes no vapor. Legumes mais duros e s6 deixar mais tempo. Nao havia percebido no andincio, mas no vem nenhum pratinho junto pra uso, s6 pra avisar ‘Ainda néo experimentei mas chegou répido. O manual é em inglés. Vou traduzi. bem fragile a embalagem velo amassada",Cozedor de Ovos 3 Andares,Double Date,entrega,entrega,negativo,negativo,lexico,entrega:negativo,True
"Legumes: prao q precisa ele funciona bem Velocidad rapido Qualidade: © material parece resistente e durivel Ire testar 0 produto com calma ""Mas fiquel chateada com a quantidade de mofo q estava na embslagem o chelro multo forte &caixe tod destruda a sacola mofada dando um aspecto de produto velho. ‘Agora ver se rd funcionar Com essa questio estou insatistets",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Enviaram caixas todas danificadas, asgadas e amassadas, e eram para presentear. A impress de dar como presente & que estamos dando algo usado. (eft det:",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,negativo,lexico,qualidade:negativo,False
"Qualidade: fragil Demorou muito pra chegar totalmente fora do prazo a caixa velo toda amassada péssima embalagem ainda nfo teste! espero que pelo menos sirva ae | gui? e@ merincr 940705, Recebi porém a embalagem chegou muito amassada.provocando uma abertura em um dos compartimentos, o que pode prejudicar o cozimento. ‘Qualquer desacerto,entro em contato com vocds. Muito lindo! ‘candidedes",Cozedor de Ovos 3 Andares,Double Date,entrega,entrega,neutro,negativo,lexico,entrega:negativo,False
"umes: no used ainda Velocidede: usel ainda Qualidade: aparentemente bom devido ser plastico. Vou testar e volto para completar a avaliacdo,",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Acaixa veio aberta, sem nenhuma proteeo a mais, parece que velo de outro cliente que desistiu do produto. elo menos esté funcionando, mas 0 vendedor precisa se atentar a isso, calxa violada é extorno para 99% dos clientes e com razBo. _gabrielygeterandrade ‘Muito bom, chegou répido eo hed",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
teks (OARES.T10V Chegou rapido . [rel testar .Otimoo Bas,Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,bertimbau,entrega:positivo,False
"produto ainda no testel, mas a embalagem velo péssima! =o EEA ‘Apesar de embalado, chegou todo amassado, mas aparentemente inteiro, a cor no me recordo de pedido esse rosa (feio) mas...se funcionar 6 0 que importa. emersonconceirodiguee Bom produto ‘ha o estado que chegaram as caixas, toda amassadas,reegadas, ndo se fol mal culdado no envio ou no transporte. Devera vr com aviso de frégl ‘Anda ber q néo danificou 0 a maquina. Testada esté funcionando, Liga e desliga sozinho no tempo de 10 min. ‘Aiguns alimentos precisaram de mais tempo. ‘Mas achel bem bacana.",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,neutro,negativo,lexico,entrega:negativo,False
"equmes: Cozinha bem. Velocidade. Bem répido, Qualidade: Boa, roduto funcionando perfeitamente, mas... embalagem velo em péssimas condigdes, no mals, nota 10 para o produto e nota 0 para a embalagem.",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
"Cs) wee 7026-0540 10:43 | VaiagSo:COZEDOR 3 ANDARES220V ‘Ainda ni testei porém o material parece ser bem frigil veremos daquia alguns meses CO entregador nota mil pois velo aqui 2 vezes tentar entregar no jogou a encomenda ele 6 de parabéns 702605-16 1237 | VaiagSo-COZEDOR 2 ANDARES,110V Legumes: chegou dentro do prazo Bos qualidade 86 nBo velo na cor que ped ‘engelapetres 7025-10-25 1931 | VaiagSo:COZEDOR 3 ANDARES,110V Produto: Bava qualidade \Val poucs agus no reservatérlo pars cozinhar no vapor, entéo néo se iluda em cozinhar legumes duros, pedacos grandes, e como té na foto, frig, delicado ‘ercoburatt",Cozedor de Ovos 3 Andares,Double Date,entrega,entrega,neutro,positivo,bertimbau,entrega:positivo,False
Produto: Nem diferente da deserigao ‘encabuat we oY,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
Velo muito répido porém ele e bem fraco Mas vou testar ‘hiner cnr,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,neutro,negativo,lexico,qualidade:negativo,False
"Primeiro,ndo gostei que ¢ embalagem velo toda amassada,o que poderia danficaro produto, Segundo, detest a falta de respeito do vendedor em mandar a cor que no ‘encomendel, descaso,detesto coisas coloridas, pedi branco e velo azul. Quanto ao cozimento, testei cozinhar ovos, gema bem durinha e deu certo. aa Se",Cozedor de Ovos 3 Andares,Double Date,qualidade,preço,positivo,negativo,lexico,preço:negativo,False
"caueatverat004 seksi se '712509-03 0423 | VariacSo:COZEDOR 3 ANDARES,110V Maravithoso 0 produto! envio também foi mult répido, Porém nBo chegou na cor que eu ped. E otha que eu mandel duas mensagens para o vendedor. Mas ele me ignorou. CO produto chegou direitino, porém o meu velo de cor rosa, nas imagens ele branco,nBo gosto da cor nenhum pouco« fl sorteado com ela, mas tino 8 cor no tenho nada areciamar sobre 0 produto",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,negativo,negativo,bertimbau,entrega:negativo,False
"Produto: Mem diferente da descrigdo Recebl 0 produto no prazo.Infelizmente @ cor nfo condiz com o anunclado, Cheguel a solicitar devolugdo, mais cancele, entendendo que no compraria de novo na cor branca, Deveriam cumprir com 0 informado no anincio, ‘paledeoura PESSIMO atendimento! Ninguém reeponde as mensagens no chat. Fiquel dias mendando e nada Produto chegou répido, caixa totalmente amassada. Anda nio teste! pra ver se funciona, No veio a cor que eu ped, porque eles simplesmente ndo respondem. PESSIMO atendimanto! Ninguém responde as meneagens no chat. Fiquel dias mandando e nada Produto chegou répido, caixa totalmente amassada. Ainda ndo testel pra ver se funciona. No veio cor que eu pedi, porque eles simplesmente no respondem. CChegou super répido, Porém? Veo faltando pecas,",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,negativo,negativo,lexico,entrega:negativo,False
"Legumes: oves Velocidade: boa slidade bos Produto chegou com @ caixa destruida, com um amassado ao lado conforme foto q enviel. $6 no vou devolve pq esta funcionando had ef",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
"Fiz dois pedidos no mesmo dia e horde mas com forma de pat diferentes mas s6.um fol entreque até o momento e mesmo assim chegou com a embslagem bem amassada, Anda néo testel para verfiquel se estar perfelto caso negatho tel solctar reembolso. Z0Ueh Prosute tem com defeito/danticado ra vir em bom estado, qualidade e com todas as pecas. 0 produto em si velo funcionando perfetamente, mas feltando peas. ferondoolvea875515, ‘Veo inter, dentro do prazo, mas néo vou poder usar pois velo voltagem 110, mandel mensagem para a loj eninguém respondeu. No aninciondo tem a votagem. Tava bem empoigads com @ compra até ver iso. Edit: Estou té agora esperando o vendedor responder. Velo com a caixa toda amessada, ea tampa quebrada @ Oe. Legumes: a caixa chegou aberta e toda amassada conforme foto (Qualidade: bem frig wee o 7026-03-02 1049| VatiagSo: COZEDOR 3 ANDARES110V Eu amel, velo bem embalado vendedor timo e a entregatbm excelente,",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
Escolhi a cor branca eveio azul porém tudo funcionado cerinho entrega répida,Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,neutro,positivo,bertimbau,entrega:positivo,False
"Produto: Baia qualidade, Item com defeto/danificado ‘A caixa velo simplesmente em pssimo estado! Produto todo aberto e amassado, por pouco nBo quebral A caixa parecia que J tinha sido usada e reulizada vétias vezes! CChegou tudo 0K ‘A caixa toda destruide mal embelado também! 7026-0606 05:49 | Varco: COZEDOR 3 ANDARES 110 Produ: Balxa qualidade Velo todo aberto, com cheiro de produtos de impeza, ache! muito desleixo da loja, enviar 0 produto assim, o saquinho pretoestava seco e sem cheiro de produtos delimpeza, entio nfo fol a transportadora, ind i",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"VaagS: COZEDOR 2 ANOARES,110 Gostei do produto, ovo cozido deu certo, s6 nBo teste! ainda os legumes! A embelagem chegou amassada, ainda bem que o produto funcione! Coloquel porque hoje que teste, funciona 6 o primero andar o segundo néo encaia, ficou maior Fiquel iste! Por isso coloquel menos estrelas! @ @& 712500-26 1225 | Vaogé: COZEDOR 3 ANDARES 110 Eu pedo produto na cor brane ainda falei com vendedor que 86 me interesss pelo produto nessa cor! Me enviaram os dois amarelos! A pessoa no gostou! Néo compro mais nessa ja! 712508-26 1242 | Vriogé: COZEDOR 3 ANDARES 110V Eu ped meu produto na cor branca e me enviaram amareoll A pessoa que me pedlu pra comprar ndo gostoutFiquel com a cara no chlo! Ndo compro mals nessa loja!",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,neutro,lexico,qualidade:neutro,False
"Recebl 0 produto muito mal embslado!O produto esté em pefeto estado, mas # embalagem NAO fol preservada. Eu}6 the comprado um desses e gost! tanto que comprel outro, no entanto, neste dtimo 8 tampa parece néo estar completamente encaixads, assim o ovo que deveria estar cozido, esta saindo com a gema mole. 712506 30 08:1 | Vag: COZEDOR 3 ANDARES,110V @& ses",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,neutro,negativo,bertimbau,entrega:negativo,False
"A embalagem velo completamente danificada, agora vou testar 0 produto",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,negativo,negativo,bertimbau,entrega:negativo,False
Nao gostei da cor. Veio azul (Qualidade muito ruim em comparaco @ que eu ja tenho de um andar O custo benefico até que compensa,Cozedor de Ovos 3 Andares,Double Date,qualidade,preço,negativo,neutro,lexico,preço:neutro,False
"del duas estrelas pq pedi o produto na voltagem 220 e mim enviaram 110 e no resolveram até agora por esse motivo no estou satisfeta 26ho. 42.6 0 produto chegou antes,pordm veio na cor erada e um na voltagem errada eu pedi os dois na cor branca jeio 1 amarelo no 110v e 1 rosa no 220v",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,negativo,neutro,lexico,entrega:neutro,False
"VringS:COZEDOR 3 ANDARES 2200 ENTREGADOR COLOCA QUE FOI ENTREGUE. COLOCA TELEFONE DE OUTRA PESSOA, ENDEREGO DE OUTRA PESSOA E A FOTO DA FRENTE DA CASA DE OUTRA PESSOA ‘TEM QUE TER CUIDADO COM AS PESSOAS QUE FAZ AS ENTREGAS ,0 ENTREGADOR COLOCOU QUE EU TINHA RECEBIDO O PRODUTO, E COLOCOU UM NUMERO E UM ENDEREGO DE UMA PESSOA DIFERENTE, EU COMECEI A ENTRAR EM CONTATO COM UM ENTREGADOR E ELE ENTROU EM CONTATO COM OUTROS, RAPIDINHO ENTRARAM EM CONTATO COMIGO E 0 CARA VEIO DEIXAR, COLOCARAM ATE UMA FOTO DE UMA CASA QUE NAO TINHA NADA AVER COM A MINHA, TO PENSANDO DE DDEIXAR DE COMPRAR PELA SHOPEE POR CONTA DESSAS COISAS, NAO A 1 VEZ QUE ESTE CONTRAGOSTO ACONTECE Bn we (0 produto velo em estado creo, «cana toda remendads de durex eo fund de cai aberta, nfo velo o manual. Patece que fo devolucSo de algum clente ‘Vou testar ese néo estver funcionando seela segunda a devolver| © eons",Cozedor de Ovos 3 Andares,Double Date,entrega,qualidade,negativo,negativo,bertimbau,qualidade:negativo,False
"nBo gostei da cor Eu haviaselecionado branco e velo amarelo .No mais veto completo, chegou répido ‘Chegou no prazo, mas velo muito mal embalado e na cor errada",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,negativo,neutro,lexico,entrega:neutro,False
Néo tem nada haver o produto ¢ pequeno e eu ainda tive que sairprocurando na rua porque no entregou na minha reidénciahorrivel eorcesramond 962 Néo véia cor certa pedir branco e velo azul mas o produto e bom ves tem g prestaatenco ene cor @ agente pede no mas funciona bem Za roe 88 Seaee slide velo amassado e nBo dar pra ussr de eto nenhum caramiba que chato ainda nem der pra devoher por dere outra cidade # devolucSo fiquel mult chatesda,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
"Legumes: Funelonau eertinho.. voduto: Mem com defeito/danficado ‘Acabou de chegar, caia velo rasgada, a tampa quebrada e ped branco e velo amarelo.enfi, vamos ver se pelo menos funciona. oduto: Baba qualidade ‘Muito mal embatadojembalagem toda amassada, experimentar pra verse funciona",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"Eu ainda ndo usel,porém nde gostei do pldstco. Serd que ele néo elimina BPA? Vou pesquisa Gostel mas a cor velo errada pel branco velo azul Eu ainda no use, porém no gostei do pléstico. Seré que ele no elimina BPA? Vou pesquiser e@ weirs Gostel mas a cor veio errada pedi branco velo azul",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,neutro,neutro,lexico,qualidade:neutro,True
"Produto: item diferente da descri¢o ‘Até funciona bern mas eu pedi branco e velo rosa, no recomendo Fiquei decepcionada",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,neutro,neutro,lexico,qualidade:neutro,True
"Fiz. pedido especificando muito bem que era 110v, pedi para confer antes de mandar ainda sim mandaram 220v.",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,positivo,bertimbau,qualidade:positivo,False
"barborciont 41 Para mim, ndo teve ums bos funcionalidade pois demora muito para cozinhar os legumes... além da gua e evaporar muito répido, preciso ficarcolocando gua a cada 5 ‘minutos... enfimmm, para mim no funcionou",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,positivo,bertimbau,qualidade:positivo,False
"roduto: Wem com defeito/danificado ‘Demore! para testar, nao tenho mais como devolver, no melo do funclonamento as luzes da minha casa comecaram a piscar,troquel de tomada, mesma colsa, ele fica piscando, efazendo barulho, os ovos ficaram bons, uma pena 02409-61607 Debxou a desejar o modo como velo embalado e a cai fechada de qualquer jit,",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"Legumes: néo cozinha bem, queima o fundo porque a agua seca muito répido, o produto desliga mas volta @ ligar. Produto:Baixa qualidade Jesenicedeesussamtoses",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,neutro,negativo,bertimbau,qualidade:negativo,False
"Nao veio na cor que pedir, deveria anunciar as cores disponivels ! ‘iter",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
Tentem prestar mais atengo no pedido os clientes ‘octsstot,Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,negativo,positivo,bertimbau,qualidade:positivo,False
